review_text,rating,category,subject_id,subject_name,sentiment_class,reputation_index
Очень буду заказывать ещё. Прекрасная покупка!,4,Отель,SUBJ_0048,ПремиумСток,2,0.5428
"Лучшее что покупал, хотя низкое качество.",3,Одежда,SUBJ_0036,ЭкспрессЛайн,1,-0.0753
Свежесть стоит своих денег. Понравилось.,3,Продукты питания,SUBJ_0038,ТехноМирПро,1,-0.18
"Полное разочарование, скорость низкое качество.",1,Доставка,SUBJ_0028,ГлобалПлюс,0,-0.2357
"Не рекомендую, упаковка низкое качество.",1,Доставка,SUBJ_0045,МаксимумМаркет,0,-0.9408
"Всё отлично, быстрая доставка. Но можно взять если нужно.",3,Отель,SUBJ_0034,ЛюксГрупп,1,-0.0963
Соответствует цене. Есть и плюсы и минусы.,3,Электроника,SUBJ_0027,ГлобалТрейд,1,0.1529
"Рекомендую, хотя потерянная посылка.",4,Бытовая техника,SUBJ_0006,ТехноМирСток,1,0.2328
"Отличный товар, еда работает идеально.",4,Ресторан,SUBJ_0028,ГлобалПлюс,2,0.4227
Весьма быстрая доставка. Всё отлично!,5,Электроника,SUBJ_0013,ЭкспрессТрейд,2,0.7439
Бывает и лучше. Нормально.,3,Книги,SUBJ_0035,МаксимумШоп,1,-0.0464
"Топ, хотя не работает.",2,Электроника,SUBJ_0003,СтандартХаб,1,-0.2991
Замечательно! слегка приятно удивлён.,4,Бытовая техника,SUBJ_0004,ТехноМирПро,2,0.8391
"Приемлемо, цвет не впечатлило.",2,Одежда,SUBJ_0037,ЛюксЦентр,0,-0.2491
Есть недостатки. Есть и плюсы и минусы.,3,Одежда,SUBJ_0019,ГлобалГрупп,1,-0.1613
"Неплохо но, размер без восторга.",4,Одежда,SUBJ_0008,ОптимаШоп,1,0.3845
Обычный товар. Обычное качество.,3,Ресторан,SUBJ_0041,СтандартЦентр,1,0.3912
"Жалею что купил, не стоит таких денег. Но обычное качество.",3,Книги,SUBJ_0009,ТехноМирМаркет,0,-0.2945
"Отличный товар, буду заказывать ещё, но ожидал большего.",5,Электроника,SUBJ_0003,СтандартХаб,2,0.4252
Очень доволен! немного отличный сервис.,5,Ресторан,SUBJ_0035,МаксимумШоп,2,0.0031
"Отличный товар, содержание буду заказывать ещё.",5,Книги,SUBJ_0009,ТехноМирМаркет,2,0.5893
Разочарован!  долгая доставка.,4,Книги,SUBJ_0022,СуперСервисТрейд,1,-0.1296
"На троечку, надёжность за такие деньги норм.",4,Бытовая техника,SUBJ_0026,МаксимумГрупп,1,-0.1254
"На троечку, размер ничего выдающегося.",4,Одежда,SUBJ_0029,МаксимумГрупп,1,0.0822
Супер! слегка качество на высоте.,4,Отель,SUBJ_0017,СтандартТрейд,2,0.6283
Брак! немного долгая доставка.,2,Косметика,SUBJ_0037,ЛюксЦентр,0,-0.2578
Не идеально но сойдёт. Неплохо но.,3,Косметика,SUBJ_0016,МегаМаркетСток,1,-0.0819
Весьма работает идеально. Хороший выбор!,5,Одежда,SUBJ_0012,МегаМаркетХаб,2,0.1341
"Великолепно, радует каждый день. Но можно взять если нужно.",5,Книги,SUBJ_0020,ГлобалПро,2,0.5653
Бывает и лучше. Есть недостатки.,3,Одежда,SUBJ_0019,ГлобалГрупп,1,-0.0586
"Деньги на ветер, хотя отличный сервис.",3,Косметика,SUBJ_0043,МегаМаркетСток,1,-0.1052
Надёжность пришло поврежденное. Ужасное качество.,2,Бытовая техника,SUBJ_0005,ГлобалСток,0,-0.7006
"Отвратительно, посадка пришло поврежденное.",1,Одежда,SUBJ_0029,МаксимумГрупп,0,-0.399
Топ! немного быстрая доставка.,5,Одежда,SUBJ_0048,ПремиумСток,2,0.5436
"Всё отлично, быстрая доставка, при этом бывает и лучше.",4,Бытовая техника,SUBJ_0007,ЛюксХаб,2,0.4814
"Худшая покупка, деньги не вернули. С другой стороны, не впечатлило.",4,Книги,SUBJ_0035,МаксимумШоп,1,-0.0066
"Ничего особенного, печать обычное качество.",3,Книги,SUBJ_0031,ГлобалЦентр,1,0.6158
Великолепно. Но хамское обслуживание.,3,Косметика,SUBJ_0008,ОптимаШоп,1,0.0754
"Могло быть лучше, содержание за такие деньги норм.",3,Книги,SUBJ_0013,ЭкспрессТрейд,1,-0.2922
Рекомендую. Но долгая доставка.,3,Ресторан,SUBJ_0026,МаксимумГрупп,1,0.188
"Полное разочарование. С другой стороны, отличный сервис.",5,Электроника,SUBJ_0042,ПремиумСток,2,0.2727
Скорость стоит своих денег. Отличный товар.,4,Электроника,SUBJ_0042,ПремиумСток,2,0.1495
"Прекрасная покупка, правда потерянная посылка.",3,Книги,SUBJ_0021,ПремиумЦентр,0,0.0476
"Ужасное качество, пришло поврежденное, но не впечатлило.",2,Спорт и отдых,SUBJ_0022,СуперСервисТрейд,1,-0.1416
Ожидал большего. Приемлемо.,3,Спорт и отдых,SUBJ_0030,ГлобалШоп,1,-0.1259
Упаковка не стоит таких денег. Полное разочарование.,2,Продукты питания,SUBJ_0007,ЛюксХаб,0,-0.4829
Соответствует цене. Бывает и лучше.,3,Бытовая техника,SUBJ_0004,ТехноМирПро,1,0.1184
"Брак, однако качество на высоте.",4,Одежда,SUBJ_0002,МегаМаркетСток,1,0.3875
"Кошмар, не соответствует описанию. С другой стороны, можно взять если нужно.",2,Бытовая техника,SUBJ_0006,ТехноМирСток,0,-0.5805
"Рекомендую, цены буду заказывать ещё.",3,Ресторан,SUBJ_0039,СуперСервисХаб,2,0.1923
"Супер, качество на высоте, правда не хуже других.",4,Спорт и отдых,SUBJ_0028,ГлобалПлюс,2,0.8268
"Не советую, сломалось через неделю. Однако средний уровень.",3,Косметика,SUBJ_0016,МегаМаркетСток,1,0.0462
"Отличный товар. С другой стороны, не работает.",3,Книги,SUBJ_0031,ГлобалЦентр,1,0.1955
Довольно низкое качество. Кошмар!,1,Книги,SUBJ_0015,ЛюксПро,0,-0.8301
"Топ, при этом обман покупателей.",2,Одежда,SUBJ_0019,ГлобалГрупп,1,0.0742
Крайне полностью доволен. Супер!,3,Спорт и отдых,SUBJ_0030,ГлобалШоп,1,0.0866
"Худшая покупка, хотя работает идеально.",3,Отель,SUBJ_0017,СтандартТрейд,1,0.0581
Могло быть лучше. Есть и плюсы и минусы.,2,Спорт и отдых,SUBJ_0030,ГлобалШоп,1,-0.1786
Прекрасная покупка! весьма превзошло ожидания.,4,Книги,SUBJ_0040,МегаМаркетХаб,2,0.6185
"Есть недостатки, функционал можно взять если нужно.",2,Бытовая техника,SUBJ_0038,ТехноМирПро,1,0.1641
"Жалею что купил, не работает. Однако ожидал большего.",1,Одежда,SUBJ_0047,СуперСервисСток,0,-0.3032
Чистота деньги не вернули. Кошмар.,1,Ресторан,SUBJ_0026,МаксимумГрупп,0,-0.7052
"Соответствует цене, персонал ожидал большего.",2,Отель,SUBJ_0016,МегаМаркетСток,1,0.1032
Обычное качество. Пойдёт.,3,Отель,SUBJ_0010,ЭкспрессГрупп,1,0.4742
"Понравилось, буду заказывать ещё, правда бывает и лучше.",4,Отель,SUBJ_0034,ЛюксГрупп,1,-0.1884
Вкус не соответствует описанию. Ужасное качество.,1,Продукты питания,SUBJ_0036,ЭкспрессЛайн,0,-0.704
"Средне, чистота не хуже других.",3,Отель,SUBJ_0017,СтандартТрейд,1,0.0853
"Жалею что купил, долгая доставка. Однако средний уровень.",1,Спорт и отдых,SUBJ_0006,ТехноМирСток,0,-0.2932
"Великолепно, качество на высоте. С другой стороны, не впечатлило.",4,Книги,SUBJ_0007,ЛюксХаб,2,0.8634
Понравилось. Однако потерянная посылка.,4,Бытовая техника,SUBJ_0028,ГлобалПлюс,1,0.68
"Прекрасная покупка, превзошло ожидания, правда есть и плюсы и минусы.",5,Продукты питания,SUBJ_0038,ТехноМирПро,2,0.2857
"Худшая покупка, потерянная посылка, правда не впечатлило.",1,Косметика,SUBJ_0031,ГлобалЦентр,0,-0.3794
"Приемлемо, свежесть средний уровень.",3,Продукты питания,SUBJ_0038,ТехноМирПро,1,0.1785
Ничего выдающегося. Приемлемо.,3,Отель,SUBJ_0019,ГлобалГрупп,1,-0.0182
Ничего выдающегося. Нормально.,4,Бытовая техника,SUBJ_0020,ГлобалПро,1,-0.3787
Полное разочарование! слегка хамское обслуживание.,1,Ресторан,SUBJ_0024,СтандартМаркет,0,-0.2859
Крайне быстрая доставка. Прекрасная покупка!,5,Электроника,SUBJ_0033,СуперСервисЛайн,2,0.1886
Атмосфера нет нареканий. Хороший выбор.,3,Ресторан,SUBJ_0041,СтандартЦентр,2,0.5963
Не идеально но сойдёт. Средне.,3,Бытовая техника,SUBJ_0004,ТехноМирПро,1,0.0384
"Так себе, запах ничего выдающегося.",2,Косметика,SUBJ_0044,ЭкспрессПро,1,-0.2857
"Отвратительно, обслуживание быстро износилось.",2,Ресторан,SUBJ_0026,МаксимумГрупп,0,-0.3598
Обычное качество. Могло быть лучше.,2,Доставка,SUBJ_0014,ПремиумПлюс,1,0.2635
"Деньги на ветер, пришло поврежденное. С другой стороны, можно взять если нужно.",3,Косметика,SUBJ_0022,СуперСервисТрейд,1,-0.2345
На троечку. Обычное качество.,3,Спорт и отдых,SUBJ_0022,СуперСервисТрейд,1,0.1284
"Всё отлично, превзошло ожидания. Однако бывает и лучше.",4,Отель,SUBJ_0047,СуперСервисСток,2,1.0
"Лучшее что покупал, но сломалось через неделю.",3,Косметика,SUBJ_0016,МегаМаркетСток,1,0.2839
Слегка низкое качество. Брак!,1,Спорт и отдых,SUBJ_0005,ГлобалСток,0,-0.3372
"Разочарован. С другой стороны, превзошло ожидания.",3,Косметика,SUBJ_0030,ГлобалШоп,1,0.1897
Так себе. Средний уровень.,3,Ресторан,SUBJ_0025,ГлобалМаркет,1,-0.0592
"Прекрасная покупка, радует каждый день, при этом не впечатлило.",5,Косметика,SUBJ_0043,МегаМаркетСток,2,0.5205
"Понравилось, стоит своих денег. С другой стороны, не идеально но сойдёт.",5,Бытовая техника,SUBJ_0020,ГлобалПро,2,0.0332
"На троечку, материал не хуже других.",3,Одежда,SUBJ_0019,ГлобалГрупп,1,-0.4032
Великолепно! слегка стоит своих денег.,4,Отель,SUBJ_0034,ЛюксГрупп,2,0.7722
Весьма всё как в описании. Отличный товар!,2,Спорт и отдых,SUBJ_0028,ГлобалПлюс,1,-0.2694
"Ужасное качество, хамское обслуживание, но не впечатлило.",2,Одежда,SUBJ_0029,МаксимумГрупп,1,0.1699
Всё отлично! весьма полностью доволен.,5,Отель,SUBJ_0048,ПремиумСток,2,0.5541
